0.375,0.375,0.05
0.225,0.425,0.05
0.275,0.425,0.05
0.125,0.075,0.1
0.175,0.075,0.1
0.325,0.075,0.1
0.375,0.075,0.1
0.075,0.125,0.1
0.425,0.125,0.1
0.075,0.175,0.1
0.425,0.175,0.1
0.075,0.325,0.1
0.425,0.325,0.1
0.075,0.375,0.1
0.425,0.375,0.1
0.125,0.425,0.1
0.175,0.425,0.1
0.325,0.425,0.1
0.375,0.425,0.1
0.175,0.025,0.15
0.225,0.025,0.15
0.275,0.025,0.15
0.325,0.025,0.15
0.025,0.175,0.15
0.475,0.175,0.15
0.025,0.225,0.15
0.475,0.225,0.15
0.025,0.275,0.15
0.475,0.275,0.15
0.025,0.325,0.15
0.475,0.325,0.15
0.175,0.475,0.15
0.225,0.475,0.15
0.275,0.475,0.15
0.325,0.475,0.15
0.075,0.075,0.2
0.425,0.075,0.2
0.075,0.425,0.2
0.425,0.425,0.2
0.075,0.075,0.3
0.425,0.075,0.3
0.075,0.425,0.3
0.425,0.425,0.3
0.175,0.025,0.35
0.225,0.025,0.35
0.275,0.025,0.35
0.325,0.025,0.35
0.025,0.175,0.35
0.475,0.175,0.35
0.025,0.225,0.35
0.475,0.225,0.35
0.025,0.275,0.35
0.475,0.275,0.35
0.025,0.325,0.35
0.475,0.325,0.35
0.175,0.475,0.35
0.225,0.475,0.35
0.275,0.475,0.35
0.325,0.475,0.35
0.125,0.075,0.4
0.175,0.075,0.4
0.325,0.075,0.4
0.375,0.075,0.4
0.075,0.125,0.4
0.425,0.125,0.4
0.075,0.175,0.4
0.425,0.175,0.4
0.075,0.325,0.4
0.425,0.325,0.4
0.075,0.375,0.4
0.425,0.375,0.4
0.125,0.425,0.4
0.175,0.425,0.4
0.325,0.425,0.4
0.375,0.425,0.4
0.225,0.075,0.45
0.275,0.075,0.45
0.125,0.125,0.45
0.175,0.125,0.45
0.225,0.125,0.45
0.275,0.125,0.45
0.325,0.125,0.45
0.375,0.125,0.45
0.125,0.175,0.45
0.375,0.175,0.45
0.075,0.225,0.45
0.125,0.225,0.45
0.375,0.225,0.45
0.425,0.225,0.45
0.075,0.275,0.45
0.125,0.275,0.45
0.375,0.275,0.45
0.425,0.275,0.45
0.125,0.325,0.45
0.375,0.325,0.45
0.125,0.375,0.45
0.175,0.375,0.45
0.225,0.375,0.45
0.275,0.375,0.45
0.325,0.375,0.45
0.375,0.375,0.45
0.225,0.425,0.45
0.275,0.425,0.45
0.175,0.175,0.5
0.225,0.175,0.5
0.275,0.175,0.5
0.325,0.175,0.5
0.175,0.225,0.5
0.225,0.225,0.5
0.275,0.225,0.5
0.325,0.225,0.5
0.175,0.275,0.5
0.225,0.275,0.5
0.275,0.275,0.5
0.325,0.275,0.5
0.175,0.325,0.5
0.225,0.325,0.5
0.275,0.325,0.5
0.325,0.325,0.5
